state,population_size,rank
California,39142991,1.0
Texas,29558864,2.0
Florida,21828069,3.0
New York,19857492,4.0
Pennsylvania,13012059,5.0
Illinois,12686469,6.0
Ohio,11764342,7.0
Georgia,10788029,8.0
North Carolina,10565885,9.0
Michigan,10037504,10.0
New Jersey,9267961,11.0
Virginia,8657365,12.0
Washington,7740745,13.0
Arizona,7264877,14.0
Massachusetts,6989690,15.0
Tennessee,6968351,16.0
Indiana,6813532,17.0
Maryland,6174610,18.0
Missouri,6169823,19.0
Wisconsin,5880101,20.0
Colorado,5811297,21.0
Minnesota,5711471,22.0
South Carolina,5193266,23.0
Alabama,5049846,24.0
Louisiana,4627098,25.0
Kentucky,4506589,26.0
Oregon,4256301,27.0
Oklahoma,3991225,28.0
Connecticut,3623355,29.0
Utah,3339113,30.0
Iowa,3197689,31.0
Nevada,3146402,32.0
Arkansas,3028122,33.0
Mississippi,2949586,34.0
Kansas,2937922,35.0
New Mexico,2116677,36.0
Nebraska,1963554,37.0
Idaho,1904314,38.0
West Virginia,1785526,39.0
Hawaii,1447154,40.0
New Hampshire,1387505,41.0
Maine,1377238,42.0
Montana,1106227,43.0
Rhode Island,1096985,44.0
Delaware,1004807,45.0
South Dakota,896164,46.0
North Dakota,777934,47.0
Alaska,734182,48.0
Vermont,646972,49.0
Wyoming,579483,50.0
